,3
1721,D
1722,A
1723,H
1724,A
1725,H
1726,H
1727,A
1728,H
1729,A
1730,H
1731,D
1732,H
1733,H
1734,H
1735,D
1736,A
1737,H
1738,D
1739,H
1740,A
1741,A
1742,A
1743,H
1744,D
1745,A
1746,H
1747,H
1748,D
1749,D
1750,D
1751,H
1752,H
1753,D
1754,D
1755,A
1756,H
1757,A
1758,H
1759,H
1760,D
1761,H
1762,H
1763,A
1764,H
1765,H
1766,A
1767,H
1768,H
1769,H
1770,A
1771,H
1772,A
1773,H
1774,A
1776,H
1778,H
1779,H
1780,D
1782,A
1783,H
1784,H
1785,H
1786,D
1787,A
1789,A
1790,D
1791,A
1792,H
1793,D
1794,D
1795,A
1796,H
1797,H
1798,H
1799,H
1800,H
1801,H
1802,H
1804,A
1805,A
1806,A
1807,A
1808,H
1809,A
1810,D
1811,A
1812,A
1813,A
1814,D
1815,A
1817,D
1818,A
1819,H
1820,A
1822,H
1823,D
1824,H
1825,D
1826,D
1827,A
1828,H
1830,D
1831,D
1832,A
1833,H
1834,H
1835,H
1836,D
1837,A
1838,H
1839,H
1840,H
1841,H
1842,D
1843,H
1844,A
1845,D
1846,H
1848,A
1849,D
1851,H
1852,D
1853,D
1854,D
1855,A
1856,D
1857,H
1858,H
1859,A
1861,H
1862,D
1863,H
1864,A
1865,H
1866,A
1867,H
1868,H
1869,H
1870,D
1871,H
1873,A
1874,H
1875,D
1876,D
1877,H
1878,A
1879,A
1880,D
1881,H
1882,A
1883,D
1884,H
1885,H
1886,H
1888,H
1889,H
1890,A
1892,H
1893,H
1894,H
1895,D
1896,A
1897,D
1898,A
1899,D
1900,H
1901,H
1902,H
1903,D
1904,D
1905,D
1907,D
1908,H
1909,D
1911,H
1912,A
1913,D
1914,A
1915,H
1916,A
1917,A
1918,D
1919,D
1920,H
1921,A
1922,D
1923,H
1924,H
1925,D
1926,H
1927,H
1928,A
1929,D
1930,D
1931,D
1932,H
1933,H
1934,D
1935,A
1936,A
1937,H
1938,A
1939,A
1940,D
1941,H
1942,H
1943,H
1944,H
1945,A
1946,A
1947,H
1948,D
1949,H
1950,H
1951,H
1952,H
1953,A
1954,H
1955,H
1956,D
1957,D
1958,H
1959,A
1960,H
1961,D
1962,A
1963,H
1964,A
1965,D
1966,H
1967,H
1968,D
1969,A
1970,A
1971,A
1972,H
1973,D
1974,A
1975,A
1976,D
1977,D
1978,H
1979,H
1980,D
1981,A
1982,H
1983,H
1984,H
1985,D
1986,D
1987,D
1988,A
1989,H
1990,H
1991,A
1992,D
1993,D
1994,D
1995,D
1996,A
1997,H
1998,A
1999,H
2000,D
2001,D
2002,D
2003,D
2004,D
2005,D
2006,H
2007,A
2008,D
2009,A
2010,A
2011,D
2012,H
2013,D
2014,A
2015,A
2016,H
2017,H
2018,A
2019,A
2020,A
2021,D
2022,A
2023,H
2024,H
2025,D
2026,D
2027,D
2028,D
2029,H
2030,H
2031,H
2032,H
2033,D
2034,A
2035,A
2036,H
2037,D
2038,D
2039,A
2040,D
2041,A
2042,A
2043,D
2044,D
2045,D
2046,A
2047,A
2048,H
2049,D
2050,H
2051,D
2052,A
2053,H
2054,H
2055,D
2056,D
2057,D
2058,H
2059,D
2060,A
2061,D
2062,H
2063,A
2064,D
2065,H
2066,H
2067,A
2068,D
2069,H
2070,H
2071,H
2072,H
2073,H
2074,H
2075,D
2076,D
2077,H
2078,H
2079,H
2080,D
2081,H
2082,H
2083,A
2084,A
2085,D
2086,A
2087,A
2088,D
2089,A
2090,H
2091,H
2092,D
2093,A
2094,D
2095,H
2096,D
2097,H
2098,D
2099,H
2100,A
2101,H
2102,H
2103,H
2104,H
2105,H
2106,H
2107,H
2108,H
2109,A
2110,D
2111,A
2112,A
2113,A
2114,D
2115,D
2116,H
2117,A
2118,A
2119,D
2120,H
2121,A
2122,D
2123,H
2124,H
2125,D
2126,A
2127,D
2128,H
2129,A
2130,D
2131,H
2132,D
2133,H
2134,A
2135,A
2136,A
2137,D
2138,H
2139,H
2140,A
2141,A
2142,H
2143,H
2144,D
2145,A
2146,H
2147,A
2148,H
2149,D
2150,D
2151,D
2152,H
2153,A
2154,H
2155,D
2156,H
2157,A
2158,H
2159,H
2160,H
2161,H
2162,H
2163,H
2164,D
2165,H
2166,H
2167,D
2168,D
2169,H
2170,A
2171,A
2172,A
2173,A
2174,A
2175,H
2176,D
2177,H
2178,H
2179,A
2180,D
2181,H
2182,H
2183,H
2184,H
2185,D
2186,A
2187,H
2188,A
2189,H
2190,H
2191,H
2192,A
2193,H
2194,D
2195,D
2196,A
2197,H
2198,D
2199,A
2200,H
2201,D
2202,H
2203,A
2204,A
2205,A
2206,H
2207,A
2208,A
2209,A
2210,H
2211,A
2212,H
2213,H
2214,A
2215,D
2216,D
2217,H
2218,H
2219,A
2220,H
2221,H
2222,H
2223,A
2224,A
2225,A
2226,D
2227,A
2228,H
2229,H
2230,D
2231,H
2232,H
2233,A
2234,D
2235,H
2236,H
2237,H
2238,A
2239,D
2240,A
2241,H
2242,H
2243,A
2244,H
2245,A
2246,H
2247,H
2248,H
2249,H
2250,H
2251,D
2252,A
2253,D
2254,A
2255,A
2256,H
2257,H
2258,A
2259,A
2260,H
2261,H
2262,A
2263,H
2264,A
2265,H
2266,A
2267,H
2268,A
2269,H
2270,H
2271,H
2272,A
